"Logistic Regression (SentenceTransformer) Train","Logistic Regression (SentenceTransformer) Val","Simple NN (SentenceTransformer) Train","Simple NN (SentenceTransformer) Val","Logistic Regression (Trained Word2Vec) Train","Logistic Regression (Trained Word2Vec) Val","Simple NN (Trained Word2Vec) Train","Simple NN (Trained Word2Vec) Val","Logistic Regression (Pretrained Word2Vec) Train","Logistic Regression (Pretrained Word2Vec) Val","Simple NN (Pretrained Word2Vec) Train","Simple NN (Pretrained Word2Vec) Val","Simple RNN Train","Simple RNN Val",
1.8052155327152561,1.8046510696411133,1.7595058905111778,1.7480950593948363,1.7362151983621958,1.7244423866271972,1.772692603033942,1.7527466773986817,1.7463986519220713,1.741735816001892,1.7951579996057458,1.7808740854263305,1.638857310707133,1.549301875956405,
1.8010726168348983,1.7997801065444947,1.7383272325670398,1.7250669479370118,1.7258727035006962,1.716468369960785,1.7338502890354879,1.7095902562141418,1.7330426525425267,1.7310367107391358,1.7638650649302714,1.7469052910804748,1.4591967579418206,1.3772643960737614,
1.7959307528830863,1.7949690461158752,1.7141136736483187,1.6972479939460754,1.7195535060521718,1.7085114479064942,1.6862436532974243,1.651917815208435,1.7258816345317944,1.7205129384994506,1.7238046768549327,1.6997437834739686,1.2928093157733698,1.2177773617612049,
1.7909834868199117,1.790162444114685,1.6829076554324176,1.6605467915534973,1.7110698448645103,1.7006203770637511,1.6206073084393062,1.5722160935401917,1.7135144343247284,1.7103750586509705,1.662038803100586,1.631411874294281,1.1405081973312243,1.0741972505917001,
1.787027059374629,1.785376989841461,1.6404384245743622,1.608179247379303,1.702265185278815,1.6927590370178223,1.530049517348006,1.4630604267120362,1.6992040260418042,1.7003712892532348,1.5702848627760604,1.531905221939087,1.006259971584877,0.9505935406478004,
1.783006735750147,1.780683207511902,1.5789707931312356,1.5302140355110168,1.6941082284257218,1.6849360942840577,1.4073807001113892,1.3178534746170043,1.690026106061162,1.6904261827468872,1.4511782961922723,1.4037214159965514,0.8936785891505019,0.8496519512700931,
1.7779247696335252,1.775959813594818,1.4895769003275279,1.4173002123832703,1.6880457787900358,1.6771610021591186,1.2546177007056571,1.1397468447685242,1.6795468813664205,1.6807908892631531,1.309363118700079,1.272273325920105,0.8034431157472633,0.7700826968779533,
1.7734040924020715,1.7712501406669616,1.3673347234725952,1.2642305731773376,1.6802982091903687,1.6694534182548524,1.0736731371364079,0.958409172296524,1.6715143661241274,1.6712733030319213,1.2032121709875159,1.1687053561210632,0.733102606775342,0.7085246698716716,
1.7693342808130625,1.766629660129547,1.2083599921819326,1.0860519051551818,1.6735084733447514,1.6617963910102844,0.9109298973470121,0.8086152613162995,1.6612206020870723,1.6620837092399596,1.1015470172907855,1.0974762678146361,0.6792295470256741,0.6615786594773063,
1.7647173630224693,1.7619100332260131,1.0365686142766797,0.9179918229579925,1.664830114390399,1.6542068004608155,0.7821548621396761,0.7116182744503021,1.65186599460808,1.6529130697250367,1.0373547898756492,1.0451156854629517,0.638110516266963,0.6254660656744384,
