title,val_loss,val_accuracy,val_f1,val_precision,val_recall,train_loss,train_accuracy,train_f1,train_precision,train_recall,train_total_time,train_time_per_sample,inference_total_time,inference_time_per_sample
"SVM (SentenceTransformer)",0,0.9761388286334056,0.9704410078059988,0.9733835397897898,0.9676103771381109,0,0.9819937086451893,0.9775460920515824,0.9838838854908591,0.9716863627806737,99.03413899999578,0.00019410416522094913,99.51866569998674,0.00023614917563321617
"Nearest Neighbors (Euclidean) (SentenceTransformer)",0,0.9813449023861172,0.9769336980251857,0.9789746317604078,0.9749466051637257,0,0.9826445384531944,0.9785067119022783,0.9812628023800234,0.975846970769041,97.08271909999894,2.4768873655795048e-05,100.87382459999935,0.0003537436653948104
"Nearest Neighbors (Cosine) (SentenceTransformer)",0,0.9813449023861172,0.9769336980251857,0.9789746317604078,0.9749466051637257,0,0.9826445384531944,0.9785067119022783,0.9812628023800234,0.975846970769041,97.09574999999313,2.5899635543524285e-05,98.26809339999454,0.00012763023255857198
"Naive Bayes (SentenceTransformer)",0,0.9036876355748373,0.8849123668770005,0.87513965942364,0.8971551490791245,0,0.9092092417832737,0.8907439443463918,0.8827755909767914,0.9001807054898117,97.09232089998841,2.5602073932562526e-05,97.19655409999541,3.464695418308334e-05
"Logistic Regression (SentenceTransformer)",1.3989623665809632,0.7926247288503254,0.4452654209057645,0.5502041395240459,0.43254266951933523,1.4197362758017875,0.7975919297103807,0.4522463178672873,0.5562581580855692,0.4378647378431538,9723.29373489895,0.8437429481863026,97.21697349999158,3.6418856300071516e-05
"Simple NN (SentenceTransformer)",0.11253343969583511,0.951409978308026,0.9398921150077859,0.941990762314886,0.9378566608204264,0.121714888392268,0.9579130057489966,0.9473776102792677,0.9546711581748766,0.9407570805393088,9728.18820239896,0.8441676676847414,97.22768319999159,3.7348195071332076e-05
"SVM (Trained Word2Vec)",0,0.8737527114967462,0.8216318588786784,0.8921053834898183,0.7891435925390999,0,0.8776439960950212,0.8290000544619749,0.9036783724631914,0.7955829204662406,42.71863869999652,0.0001282938215895325,44.5849404999899,0.000290242953834706
"Nearest Neighbors (Euclidean) (Trained Word2Vec)",0,0.9379609544468547,0.9203437725125538,0.9356199104621585,0.9077554732561168,0,0.9533571970929602,0.9409560737985255,0.9562002757943989,0.9283427145478025,41.50763599999482,2.3208547379041344e-05,41.795266999994055,4.816784970455655e-05
"Nearest Neighbors (Cosine) (Trained Word2Vec)",0,0.9379609544468547,0.9203437725125538,0.9356199104621585,0.9077554732561168,0,0.9528148389196225,0.940322049454811,0.9550427534789053,0.9280786565143507,41.69160859999829,3.917284796941548e-05,42.57689689999097,0.00011599411662549675
"Naive Bayes (Trained Word2Vec)",0,0.8169197396963124,0.7394277380835023,0.7988434410643922,0.7158079550712502,0,0.8188523701052175,0.7450127893334111,0.8079124840759813,0.7208373267232974,41.513429900005576,2.3711315516038745e-05,41.59278839999752,3.059768309604051e-05
"Logistic Regression (Trained Word2Vec)",1.1289337396621704,0.721475054229935,0.4191028225806452,0.3607375271149675,0.5,1.1420717110504974,0.7155873739017247,0.4171092564491654,0.35779368695086233,0.5,4164.7547024998785,0.36139836016139176,41.62798550000298,3.3651926414806725e-05
"Simple NN (Trained Word2Vec)",0.32912409827113154,0.8446854663774404,0.7762135922330098,0.8531774841488795,0.7460478473201791,0.34908554159306193,0.8500922008894674,0.7884294557942693,0.8629266521423384,0.7582921159989164,4170.222730199865,0.36187285059006113,41.66124339999806,3.653789482812487e-05
"SVM (Pretrained Word2Vec)",0,0.8091106290672451,0.6860816101147217,0.8843091236281758,0.6618057616117733,0,0.8041002277904328,0.6823830899102238,0.871063345224419,0.6598050287308599,9.48760089998541,0.0002920573672329377,12.079070699997828,0.0005169332610208949
"Nearest Neighbors (Euclidean) (Pretrained Word2Vec)",0,0.8459869848156182,0.7666531021142736,0.8947714764297678,0.7309034873109803,0,0.8547564811801713,0.7861383192023198,0.8996642883041541,0.7500324047482678,6.390229500000714,2.3281646998236633e-05,6.86608839998371,6.457450537926712e-05
"Nearest Neighbors (Cosine) (Pretrained Word2Vec)",0,0.8451193058568329,0.7653384717036498,0.8929329185610593,0.7298281071255951,0,0.8547564811801713,0.7859833628892098,0.900253256687219,0.7498019259762133,6.400214499997674,2.414809961859061e-05,7.485026899987133,0.00011828315688945659
"Naive Bayes (Pretrained Word2Vec)",0,0.7817787418655098,0.6827068146546287,0.7457924165939619,0.6645583616524557,0,0.7728603970061829,0.6714969645362264,0.734107259475524,0.6551608207150594,6.407870900002308,2.4812486984490872e-05,6.486766000001808,3.16586428331111e-05
"Logistic Regression (Pretrained Word2Vec)",1.2607985854148864,0.7540130151843818,0.5359925442684064,0.8726415094339622,0.5611455108359134,1.214710590001699,0.7468272046859746,0.5227476824463544,0.8693900391717964,0.5542398777692895,654.8547327993001,0.05682529788261889,6.5786475000059,3.963169906394174e-05
"Simple NN (Pretrained Word2Vec)",0.4269131660461426,0.8134490238611713,0.6980410675115769,0.8791275117928908,0.6714361294151239,0.45966815384658605,0.8065950753877861,0.6918247627375449,0.8602088232000895,0.6675396370830218,662.1108758992923,0.05745495278542974,6.5574803999916185,3.7794914959960353e-05
"Simple RNN",0.4369063704300858,0.8143167028199566,0.7385224906598137,0.8139118943202196,0.7138903759869475,0.41856068833124477,0.8165744657771993,0.734022532963474,0.8105363977362898,0.708469408171408,13300.537022999997,1.154159755553627,62.23186940001324,0.005400196928151097
